<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTSX.BTC/EUR,W,20200106,000000,7362.1000000
BTSX.BTC/EUR,W,20200113,000000,7849.8900000
BTSX.BTC/EUR,W,20200120,000000,7790.1600000
BTSX.BTC/EUR,W,20200127,000000,8425.9000000
BTSX.BTC/EUR,W,20200203,000000,9280.0000000
BTSX.BTC/EUR,W,20200210,000000,9154.4100000
BTSX.BTC/EUR,W,20200217,000000,9210.0000000
BTSX.BTC/EUR,W,20200224,000000,7720.0000000
BTSX.BTC/EUR,W,20200302,000000,7071.3000000
BTSX.BTC/EUR,W,20200309,000000,4818.5700000
BTSX.BTC/EUR,W,20200316,000000,5466.2900000
BTSX.BTC/EUR,W,20200323,000000,5287.3000000
BTSX.BTC/EUR,W,20200330,000000,6282.5700000
BTSX.BTC/EUR,W,20200406,000000,6329.9500000
BTSX.BTC/EUR,W,20200413,000000,6562.4100000
BTSX.BTC/EUR,W,20200420,000000,7129.9500000
BTSX.BTC/EUR,W,20200427,000000,7165.2600000
BTSX.BTC/EUR,W,20200504,000000,7993.0600000
BTSX.BTC/EUR,W,20200511,000000,8947.6700000
BTSX.BTC/EUR,W,20200518,000000,7990.8800000
BTSX.BTC/EUR,W,20200525,000000,8505.8600000
BTSX.BTC/EUR,W,20200601,000000,8621.1300000
BTSX.BTC/EUR,W,20200608,000000,8292.3500000
BTSX.BTC/EUR,W,20200615,000000,8311.3800000
BTSX.BTC/EUR,W,20200622,000000,8126.8400000
BTSX.BTC/EUR,W,20200629,000000,8071.1700000
BTSX.BTC/EUR,W,20200706,000000,8234.3800000
BTSX.BTC/EUR,W,20200713,000000,8024.3800000
BTSX.BTC/EUR,W,20200720,000000,8533.6600000
BTSX.BTC/EUR,W,20200727,000000,9387.1900000
BTSX.BTC/EUR,W,20200803,000000,9928.9800000
BTSX.BTC/EUR,W,20200810,000000,10053.3300000
BTSX.BTC/EUR,W,20200817,000000,9888.9100000
BTSX.BTC/EUR,W,20200824,000000,9829.1700000
BTSX.BTC/EUR,W,20200831,000000,8725.3000000
BTSX.BTC/EUR,W,20200907,000000,8737.5800000
BTSX.BTC/EUR,W,20200914,000000,9230.6100000
BTSX.BTC/EUR,W,20200921,000000,9266.4400000
BTSX.BTC/EUR,W,20200928,000000,9103.7300000
BTSX.BTC/EUR,W,20201005,000000,9620.2900000
BTSX.BTC/EUR,W,20201012,000000,9828.2000000
BTSX.BTC/EUR,W,20201019,000000,11012.3900000
BTSX.BTC/EUR,W,20201026,000000,11821.4800000
BTSX.BTC/EUR,W,20201102,000000,13002.4700000
BTSX.BTC/EUR,W,20201109,000000,13491.3300000
BTSX.BTC/EUR,W,20201116,000000,15539.4400000
BTSX.BTC/EUR,W,20201123,000000,15202.5900000
BTSX.BTC/EUR,W,20201130,000000,15990.2700000
BTSX.BTC/EUR,W,20201207,000000,15792.3100000
BTSX.BTC/EUR,W,20201214,000000,19219.7200000
BTSX.BTC/EUR,W,20201221,000000,21368.4100000
BTSX.BTC/EUR,W,20201228,000000,26501.7300000
