<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;Прирост:;;Станд. откл. прироста:
GDAX.BTC-USD;D;20180217;0;11121,50;;;;0,063676592
GDAX.BTC-USD;D;20180218;0;10380,04;;-0,066669064;;
GDAX.BTC-USD;D;20180219;0;11140,00;;0,073213591;;Волатильность:
GDAX.BTC-USD;D;20180220;0;11235,57;;0,008578995;;1,216539579
GDAX.BTC-USD;D;20180221;0;10454,27;;-0,069538083;;
GDAX.BTC-USD;D;20180222;0;9830,00;;-0,059714356;;
GDAX.BTC-USD;D;20180223;0;10144,99;;0,032043744;;
GDAX.BTC-USD;D;20180224;0;9688,62;;-0,044984766;;
GDAX.BTC-USD;D;20180225;0;9595,42;;-0,009619533;;
GDAX.BTC-USD;D;20180226;0;10300,00;;0,073428782;;
GDAX.BTC-USD;D;20180227;0;10566,57;;0,025880583;;
GDAX.BTC-USD;D;20180228;0;10307,27;;-0,024539657;;
GDAX.BTC-USD;D;20180301;0;10895,92;;0,057110176;;
GDAX.BTC-USD;D;20180302;0;11000,00;;0,009552199;;
GDAX.BTC-USD;D;20180303;0;11432,50;;0,039318182;;
GDAX.BTC-USD;D;20180304;0;11469,90;;0,003271375;;
GDAX.BTC-USD;D;20180305;0;11377,54;;-0,008052381;;
GDAX.BTC-USD;D;20180306;0;10700,00;;-0,059550659;;
GDAX.BTC-USD;D;20180307;0;9925,00;;-0,072429907;;
GDAX.BTC-USD;D;20180308;0;9304,89;;-0,062479597;;
GDAX.BTC-USD;D;20180309;0;9255,00;;-0,005361697;;
GDAX.BTC-USD;D;20180310;0;8795,44;;-0,049655321;;
GDAX.BTC-USD;D;20180311;0;9533,88;;0,083957141;;
GDAX.BTC-USD;D;20180312;0;9120,00;;-0,043411497;;
GDAX.BTC-USD;D;20180313;0;9145,41;;0,002786184;;
GDAX.BTC-USD;D;20180314;0;8207,02;;-0,102607756;;
GDAX.BTC-USD;D;20180315;0;8259,99;;0,006454231;;
GDAX.BTC-USD;D;20180316;0;8275,00;;0,001817193;;
GDAX.BTC-USD;D;20180317;0;7857,60;;-0,050441088;;
GDAX.BTC-USD;D;20180318;0;8192,00;;0,042557524;;
GDAX.BTC-USD;D;20180319;0;8589,00;;0,048461914;;
GDAX.BTC-USD;D;20180320;0;8900,00;;0,036209105;;
GDAX.BTC-USD;D;20180321;0;8891,81;;-0,000920225;;
GDAX.BTC-USD;D;20180322;0;8715,09;;-0,019874469;;
GDAX.BTC-USD;D;20180323;0;8927,10;;0,024326771;;
GDAX.BTC-USD;D;20180324;0;8531,34;;-0,044332426;;
GDAX.BTC-USD;D;20180325;0;8453,00;;-0,009182614;;
GDAX.BTC-USD;D;20180326;0;8145,00;;-0,036436768;;
GDAX.BTC-USD;D;20180327;0;7793,61;;-0,043141805;;
GDAX.BTC-USD;D;20180328;0;7942,72;;0,01913234;;
GDAX.BTC-USD;D;20180329;0;7080,00;;-0,108617703;;
GDAX.BTC-USD;D;20180330;0;6848,01;;-0,032766949;;
GDAX.BTC-USD;D;20180331;0;6928,50;;0,01175378;;
GDAX.BTC-USD;D;20180401;0;6816,01;;-0,016235837;;
GDAX.BTC-USD;D;20180402;0;7045,01;;0,033597369;;
GDAX.BTC-USD;D;20180403;0;7424,90;;0,053923273;;
GDAX.BTC-USD;D;20180404;0;6791,68;;-0,085283303;;
GDAX.BTC-USD;D;20180405;0;6785,85;;-0,000858403;;
GDAX.BTC-USD;D;20180406;0;6619,01;;-0,024586456;;
GDAX.BTC-USD;D;20180407;0;6894,01;;0,041546999;;
GDAX.BTC-USD;D;20180408;0;7020,01;;0,018276736;;
GDAX.BTC-USD;D;20180409;0;6771,13;;-0,035452941;;
GDAX.BTC-USD;D;20180410;0;6824,99;;0,007954359;;
GDAX.BTC-USD;D;20180411;0;6942,99;;0,017289403;;
GDAX.BTC-USD;D;20180412;0;7916,00;;0,140142792;;
GDAX.BTC-USD;D;20180413;0;7893,19;;-0,002881506;;
GDAX.BTC-USD;D;20180414;0;8003,11;;0,013925929;;
GDAX.BTC-USD;D;20180415;0;8355,25;;0,044000395;;
GDAX.BTC-USD;D;20180416;0;8048,93;;-0,036661979;;
GDAX.BTC-USD;D;20180417;0;7892,10;;-0,019484577;;
GDAX.BTC-USD;D;20180418;0;8152,05;;0,032938001;;
GDAX.BTC-USD;D;20180419;0;8274,00;;0,014959427;;
GDAX.BTC-USD;D;20180420;0;8866,27;;0,071582064;;
GDAX.BTC-USD;D;20180421;0;8915,42;;0,005543481;;
GDAX.BTC-USD;D;20180422;0;8795,01;;-0,013505814;;
GDAX.BTC-USD;D;20180423;0;8931,30;;0,015496287;;
GDAX.BTC-USD;D;20180424;0;9645,10;;0,079921176;;
GDAX.BTC-USD;D;20180425;0;8865,98;;-0,080778841;;
GDAX.BTC-USD;D;20180426;0;9272,11;;0,045807683;;
GDAX.BTC-USD;D;20180427;0;8922,55;;-0,037700157;;
GDAX.BTC-USD;D;20180428;0;9329,99;;0,045664076;;
GDAX.BTC-USD;D;20180429;0;9389,01;;0,006325837;;
GDAX.BTC-USD;D;20180430;0;9243,83;;-0,015462759;;
GDAX.BTC-USD;D;20180501;0;9072,29;;-0,018557243;;
GDAX.BTC-USD;D;20180502;0;9190,48;;0,013027582;;
GDAX.BTC-USD;D;20180503;0;9725,74;;0,058240701;;
GDAX.BTC-USD;D;20180504;0;9685,00;;-0,004188884;;
GDAX.BTC-USD;D;20180505;0;9800,00;;0,011874032;;
GDAX.BTC-USD;D;20180506;0;9600,00;;-0,020408163;;
GDAX.BTC-USD;D;20180507;0;9353,00;;-0,025729167;;
GDAX.BTC-USD;D;20180508;0;9177,82;;-0,018729819;;
GDAX.BTC-USD;D;20180509;0;9300,08;;0,013321246;;
GDAX.BTC-USD;D;20180510;0;9010,51;;-0,031136291;;
GDAX.BTC-USD;D;20180511;0;8403,33;;-0,067385753;;
GDAX.BTC-USD;D;20180512;0;8475,00;;0,008528762;;
GDAX.BTC-USD;D;20180513;0;8686,10;;0,024908555;;
GDAX.BTC-USD;D;20180514;0;8670,00;;-0,001853536;;
GDAX.BTC-USD;D;20180515;0;8477,46;;-0,022207612;;
