<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.ETH-EUR,W,20200106,000000,131.8500000
GDAX.ETH-EUR,W,20200113,000000,150.8800000
GDAX.ETH-EUR,W,20200120,000000,751.9500000
GDAX.ETH-EUR,W,20200127,000000,169.9400000
GDAX.ETH-EUR,W,20200203,000000,208.8700000
GDAX.ETH-EUR,W,20200210,000000,238.9100000
GDAX.ETH-EUR,W,20200217,000000,253.9400000
GDAX.ETH-EUR,W,20200224,000000,496.9800000
GDAX.ETH-EUR,W,20200302,000000,176.5300000
GDAX.ETH-EUR,W,20200309,000000,111.5500000
GDAX.ETH-EUR,W,20200316,000000,115.2800000
GDAX.ETH-EUR,W,20200323,000000,112.0400000
GDAX.ETH-EUR,W,20200330,000000,132.3200000
GDAX.ETH-EUR,W,20200406,000000,545.4600000
GDAX.ETH-EUR,W,20200413,000000,166.1400000
GDAX.ETH-EUR,W,20200420,000000,182.9500000
GDAX.ETH-EUR,W,20200427,000000,191.9200000
GDAX.ETH-EUR,W,20200504,000000,173.4700000
GDAX.ETH-EUR,W,20200511,000000,191.1300000
GDAX.ETH-EUR,W,20200518,000000,883.0000000
GDAX.ETH-EUR,W,20200525,000000,208.2900000
GDAX.ETH-EUR,W,20200601,000000,216.5400000
GDAX.ETH-EUR,W,20200608,000000,205.9000000
GDAX.ETH-EUR,W,20200615,000000,203.5300000
GDAX.ETH-EUR,W,20200622,000000,201.0500000
GDAX.ETH-EUR,W,20200629,000000,802.5700000
GDAX.ETH-EUR,W,20200706,000000,215.1100000
GDAX.ETH-EUR,W,20200713,000000,209.1600000
GDAX.ETH-EUR,W,20200720,000000,266.9400000
GDAX.ETH-EUR,W,20200727,000000,316.0600000
GDAX.ETH-EUR,W,20200803,000000,332.0900000
GDAX.ETH-EUR,W,20200810,000000,365.9000000
GDAX.ETH-EUR,W,20200817,000000,331.9300000
GDAX.ETH-EUR,W,20200824,000000,359.9400000
GDAX.ETH-EUR,W,20200831,000000,298.6300000
GDAX.ETH-EUR,W,20200907,000000,310.0800000
GDAX.ETH-EUR,W,20200914,000000,313.5100000
GDAX.ETH-EUR,W,20200921,000000,307.2900000
GDAX.ETH-EUR,W,20200928,000000,300.7200000
GDAX.ETH-EUR,W,20201005,000000,316.0900000
GDAX.ETH-EUR,W,20201012,000000,323.1800000
GDAX.ETH-EUR,W,20201019,000000,342.7200000
GDAX.ETH-EUR,W,20201026,000000,341.0000000
GDAX.ETH-EUR,W,20201102,000000,381.0000000
GDAX.ETH-EUR,W,20201109,000000,378.4200000
GDAX.ETH-EUR,W,20201116,000000,472.5100000
GDAX.ETH-EUR,W,20201123,000000,481.5800000
GDAX.ETH-EUR,W,20201130,000000,496.4200000
GDAX.ETH-EUR,W,20201207,000000,486.1100000
GDAX.ETH-EUR,W,20201214,000000,521.7000000
GDAX.ETH-EUR,W,20201221,000000,557.5100000
GDAX.ETH-EUR,W,20201228,000000,759.2400000
