<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.ETH-USD,D,20180217,000000,974.9900000
GDAX.ETH-USD,D,20180218,000000,912.4100000
GDAX.ETH-USD,D,20180219,000000,939.0100000
GDAX.ETH-USD,D,20180220,000000,884.7600000
GDAX.ETH-USD,D,20180221,000000,840000.3400000
GDAX.ETH-USD,D,20180222,000000,806.0000000
GDAX.ETH-USD,D,20180223,000000,854.0100000
GDAX.ETH-USD,D,20180224,000000,833.2000000
GDAX.ETH-USD,D,20180225,000000,841.9600000
GDAX.ETH-USD,D,20180226,000000,8670000.0900000
GDAX.ETH-USD,D,20180227,000000,871.0700000
GDAX.ETH-USD,D,20180228,000000,849.9900000
GDAX.ETH-USD,D,20180301,000000,868.7400000
GDAX.ETH-USD,D,20180302,000000,854.3100000
GDAX.ETH-USD,D,20180303,000000,854000.3400000
GDAX.ETH-USD,D,20180304,000000,861.7400000
GDAX.ETH-USD,D,20180305,000000,848.8300000
GDAX.ETH-USD,D,20180306,000000,815.4300000
GDAX.ETH-USD,D,20180307,000000,751.3800000
GDAX.ETH-USD,D,20180308,000000,698.8300000
GDAX.ETH-USD,D,20180309,000000,728.4600000
GDAX.ETH-USD,D,20180310,000000,683.6000000
GDAX.ETH-USD,D,20180311,000000,719.7900000
GDAX.ETH-USD,D,20180312,000000,696.5100000
GDAX.ETH-USD,D,20180313,000000,690.3900000
GDAX.ETH-USD,D,20180314,000000,614.6300000
GDAX.ETH-USD,D,20180315,000000,610.9900000
GDAX.ETH-USD,D,20180316,000000,600.5100000
GDAX.ETH-USD,D,20180317,000000,549.7900000
GDAX.ETH-USD,D,20180318,000000,538.0000000
GDAX.ETH-USD,D,20180319,000000,555.5500000
GDAX.ETH-USD,D,20180320,000000,558.0000000
GDAX.ETH-USD,D,20180321,000000,559.9800000
GDAX.ETH-USD,D,20180322,000000,539.8900000
GDAX.ETH-USD,D,20180323,000000,543.0400000
GDAX.ETH-USD,D,20180324,000000,519.5700000
GDAX.ETH-USD,D,20180325,000000,522.5500000
GDAX.ETH-USD,D,20180326,000000,486.7500000
GDAX.ETH-USD,D,20180327,000000,449.0000000
GDAX.ETH-USD,D,20180328,000000,445.4700000
GDAX.ETH-USD,D,20180329,000000,383.2900000
GDAX.ETH-USD,D,20180330,000000,394.4600000
GDAX.ETH-USD,D,20180331,000000,394.5400000
GDAX.ETH-USD,D,20180401,000000,378.1800000
GDAX.ETH-USD,D,20180402,000000,384.0000000
GDAX.ETH-USD,D,20180403,000000,416.2800000
GDAX.ETH-USD,D,20180404,000000,378.4300000
GDAX.ETH-USD,D,20180405,000000,381.5500000
GDAX.ETH-USD,D,20180406,000000,370.3200000
GDAX.ETH-USD,D,20180407,000000,384.6100000
GDAX.ETH-USD,D,20180408,000000,399.9000000
GDAX.ETH-USD,D,20180409,000000,398.8000000
GDAX.ETH-USD,D,20180410,000000,415.4500000
GDAX.ETH-USD,D,20180411,000000,430.8100000
GDAX.ETH-USD,D,20180412,000000,493.4100000
GDAX.ETH-USD,D,20180413,000000,495.7600000
GDAX.ETH-USD,D,20180414,000000,502.4000000
GDAX.ETH-USD,D,20180415,000000,533.7400000
GDAX.ETH-USD,D,20180416,000000,511.2800000
GDAX.ETH-USD,D,20180417,000000,502.4200000
GDAX.ETH-USD,D,20180418,000000,525.8900000
GDAX.ETH-USD,D,20180419,000000,567.2900000
GDAX.ETH-USD,D,20180420,000000,617.1700000
GDAX.ETH-USD,D,20180421,000000,605.1600000
GDAX.ETH-USD,D,20180422,000000,620.0700000
GDAX.ETH-USD,D,20180423,000000,642.8500000
GDAX.ETH-USD,D,20180424,000000,703.3800000
GDAX.ETH-USD,D,20180425,000000,617.4900000
GDAX.ETH-USD,D,20180426,000000,661.0000000
GDAX.ETH-USD,D,20180427,000000,643.1100000
GDAX.ETH-USD,D,20180428,000000,682.0000000
GDAX.ETH-USD,D,20180429,000000,687.5100000
GDAX.ETH-USD,D,20180430,000000,669.8100000
GDAX.ETH-USD,D,20180501,000000,670.7500000
GDAX.ETH-USD,D,20180502,000000,685.0200000
GDAX.ETH-USD,D,20180503,000000,775.5100000
GDAX.ETH-USD,D,20180504,000000,783.0100000
GDAX.ETH-USD,D,20180505,000000,812.0000000
GDAX.ETH-USD,D,20180506,000000,784.2800000
GDAX.ETH-USD,D,20180507,000000,752.4200000
GDAX.ETH-USD,D,20180508,000000,746.9900000
GDAX.ETH-USD,D,20180509,000000,750.0000000
GDAX.ETH-USD,D,20180510,000000,723.5100000
GDAX.ETH-USD,D,20180511,000000,678.0500000
GDAX.ETH-USD,D,20180512,000000,684.6600000
GDAX.ETH-USD,D,20180513,000000,729.2900000
GDAX.ETH-USD,D,20180514,000000,726.9000000
GDAX.ETH-USD,D,20180515,000000,706.0800000
GDAX.ETH-USD,D,20180516,000000,707.4500000
GDAX.ETH-USD,D,20180517,000000,668.5600000
GDAX.ETH-USD,D,20180518,000000,694.5000000
GDAX.ETH-USD,D,20180519,000000,695.9600000
GDAX.ETH-USD,D,20180520,000000,714.0000000
GDAX.ETH-USD,D,20180521,000000,696.7700000
GDAX.ETH-USD,D,20180522,000000,640.5000000
GDAX.ETH-USD,D,20180523,000000,577.2000000
GDAX.ETH-USD,D,20180524,000000,602.6400000
GDAX.ETH-USD,D,20180525,000000,584.0200000
GDAX.ETH-USD,D,20180526,000000,584.9900000
GDAX.ETH-USD,D,20180527,000000,570.7500000
GDAX.ETH-USD,D,20180528,000000,511.3300000
GDAX.ETH-USD,D,20180529,000000,566.6600000
GDAX.ETH-USD,D,20180530,000000,557.2200000
GDAX.ETH-USD,D,20180531,000000,577.1000000
GDAX.ETH-USD,D,20180601,000000,578.8900000
GDAX.ETH-USD,D,20180602,000000,590.4600000
GDAX.ETH-USD,D,20180603,000000,618.6300000
GDAX.ETH-USD,D,20180604,000000,591.5000000
GDAX.ETH-USD,D,20180605,000000,607.6000000
GDAX.ETH-USD,D,20180606,000000,606.1800000
GDAX.ETH-USD,D,20180607,000000,603.5600000
GDAX.ETH-USD,D,20180608,000000,598.5900000
GDAX.ETH-USD,D,20180609,000000,593.4100000
GDAX.ETH-USD,D,20180610,000000,525.2500000
GDAX.ETH-USD,D,20180611,000000,531.6800000
GDAX.ETH-USD,D,20180612,000000,494.1400000
GDAX.ETH-USD,D,20180613,000000,476.0200000
GDAX.ETH-USD,D,20180614,000000,519.7500000
GDAX.ETH-USD,D,20180615,000000,487.4500000
GDAX.ETH-USD,D,20180616,000000,497.3100000
GDAX.ETH-USD,D,20180617,000000,496.5000000
GDAX.ETH-USD,D,20180618,000000,517.4700000
GDAX.ETH-USD,D,20180619,000000,538.5000000
GDAX.ETH-USD,D,20180620,000000,536.0000000
GDAX.ETH-USD,D,20180621,000000,525.4900000
GDAX.ETH-USD,D,20180622,000000,462.0100000
GDAX.ETH-USD,D,20180623,000000,475.1700000
GDAX.ETH-USD,D,20180624,000000,454.7900000
GDAX.ETH-USD,D,20180625,000000,458.4100000
GDAX.ETH-USD,D,20180626,000000,429.0800000
GDAX.ETH-USD,D,20180627,000000,441.4100000
GDAX.ETH-USD,D,20180628,000000,420.0000000
GDAX.ETH-USD,D,20180629,000000,434.6000000
GDAX.ETH-USD,D,20180630,000000,453.2900000
GDAX.ETH-USD,D,20180701,000000,451.4300000
GDAX.ETH-USD,D,20180702,000000,476.3400000
GDAX.ETH-USD,D,20180703,000000,461.7500000
GDAX.ETH-USD,D,20180704,000000,466.9000000
GDAX.ETH-USD,D,20180705,000000,467.2500000
GDAX.ETH-USD,D,20180706,000000,469.3000000
GDAX.ETH-USD,D,20180707,000000,484.4800000
GDAX.ETH-USD,D,20180708,000000,486.0800000
GDAX.ETH-USD,D,20180709,000000,471.6000000
GDAX.ETH-USD,D,20180710,000000,432.5900000
GDAX.ETH-USD,D,20180711,000000,446.2500000
GDAX.ETH-USD,D,20180712,000000,431.4600000
GDAX.ETH-USD,D,20180713,000000,432.8000000
GDAX.ETH-USD,D,20180714,000000,434.1300000
GDAX.ETH-USD,D,20180715,000000,449.4100000
GDAX.ETH-USD,D,20180716,000000,478.1800000
GDAX.ETH-USD,D,20180717,000000,499.0100000
GDAX.ETH-USD,D,20180718,000000,478.8100000
GDAX.ETH-USD,D,20180719,000000,468.3900000
GDAX.ETH-USD,D,20180720,000000,448.2100000
GDAX.ETH-USD,D,20180721,000000,461.5000000
GDAX.ETH-USD,D,20180722,000000,456.9000000
GDAX.ETH-USD,D,20180723,000000,449.0000000
GDAX.ETH-USD,D,20180724,000000,478.7900000
GDAX.ETH-USD,D,20180725,000000,470.8100000
GDAX.ETH-USD,D,20180726,000000,461.4200000
GDAX.ETH-USD,D,20180727,000000,469.3000000
GDAX.ETH-USD,D,20180728,000000,468.1200000
GDAX.ETH-USD,D,20180729,000000,466.0100000
GDAX.ETH-USD,D,20180730,000000,456.4600000
GDAX.ETH-USD,D,20180731,000000,432.3500000
GDAX.ETH-USD,D,20180801,000000,419.6000000
GDAX.ETH-USD,D,20180802,000000,410.7100000
GDAX.ETH-USD,D,20180803,000000,417.8000000
GDAX.ETH-USD,D,20180804,000000,407.0000000
GDAX.ETH-USD,D,20180805,000000,408.8300000
GDAX.ETH-USD,D,20180806,000000,404.9900000
GDAX.ETH-USD,D,20180807,000000,378.0800000
GDAX.ETH-USD,D,20180808,000000,355.7000000
GDAX.ETH-USD,D,20180809,000000,363.9900000
GDAX.ETH-USD,D,20180810,000000,330.9900000
GDAX.ETH-USD,D,20180811,000000,318.0200000
GDAX.ETH-USD,D,20180812,000000,318.1500000
GDAX.ETH-USD,D,20180813,000000,284.1100000
GDAX.ETH-USD,D,20180814,000000,279.4000000
GDAX.ETH-USD,D,20180815,000000,281.2100000
GDAX.ETH-USD,D,20180816,000000,286.6700000
GDAX.ETH-USD,D,20180817,000000,317.5400000
GDAX.ETH-USD,D,20180818,000000,296.6100000
GDAX.ETH-USD,D,20180819,000000,300.0300000
GDAX.ETH-USD,D,20180820,000000,270.7600000
GDAX.ETH-USD,D,20180821,000000,281.4900000
GDAX.ETH-USD,D,20180822,000000,270.4700000
GDAX.ETH-USD,D,20180823,000000,275.8700000
GDAX.ETH-USD,D,20180824,000000,281.3500000
GDAX.ETH-USD,D,20180825,000000,277.9700000
GDAX.ETH-USD,D,20180826,000000,274.2500000
GDAX.ETH-USD,D,20180827,000000,287.9900000
GDAX.ETH-USD,D,20180828,000000,295.3900000
GDAX.ETH-USD,D,20180829,000000,289.0000000
GDAX.ETH-USD,D,20180830,000000,284.5200000
GDAX.ETH-USD,D,20180831,000000,281.9400000
GDAX.ETH-USD,D,20180901,000000,294.6400000
GDAX.ETH-USD,D,20180902,000000,295.0600000
GDAX.ETH-USD,D,20180903,000000,288.6000000
GDAX.ETH-USD,D,20180904,000000,285.4300000
GDAX.ETH-USD,D,20180905,000000,227.5600000
GDAX.ETH-USD,D,20180906,000000,229.0300000
GDAX.ETH-USD,D,20180907,000000,215.2100000
GDAX.ETH-USD,D,20180908,000000,197.0000000
GDAX.ETH-USD,D,20180909,000000,195.9100000
GDAX.ETH-USD,D,20180910,000000,196.9400000
GDAX.ETH-USD,D,20180911,000000,185.1500000
GDAX.ETH-USD,D,20180912,000000,182.7900000
GDAX.ETH-USD,D,20180913,000000,211.3900000
GDAX.ETH-USD,D,20180914,000000,210.0000000
GDAX.ETH-USD,D,20180915,000000,221.6900000
GDAX.ETH-USD,D,20180916,000000,220.1900000
GDAX.ETH-USD,D,20180917,000000,195.9700000
GDAX.ETH-USD,D,20180918,000000,208.5000000
GDAX.ETH-USD,D,20180919,000000,209.8100000
GDAX.ETH-USD,D,20180920,000000,224.4100000
GDAX.ETH-USD,D,20180921,000000,247.7600000
GDAX.ETH-USD,D,20180922,000000,240.7100000
GDAX.ETH-USD,D,20180923,000000,244.3500000
GDAX.ETH-USD,D,20180924,000000,228.0100000
GDAX.ETH-USD,D,20180925,000000,219.1900000
GDAX.ETH-USD,D,20180926,000000,214.1500000
GDAX.ETH-USD,D,20180927,000000,229.0000000
GDAX.ETH-USD,D,20180928,000000,220.6700000
GDAX.ETH-USD,D,20180929,000000,231.0100000
GDAX.ETH-USD,D,20180930,000000,232.2700000
GDAX.ETH-USD,D,20181001,000000,230.4000000
GDAX.ETH-USD,D,20181002,000000,224.8500000
GDAX.ETH-USD,D,20181003,000000,219.0100000
GDAX.ETH-USD,D,20181004,000000,221.0000000
GDAX.ETH-USD,D,20181005,000000,226.8900000
GDAX.ETH-USD,D,20181006,000000,223.8500000
GDAX.ETH-USD,D,20181007,000000,224.8200000
GDAX.ETH-USD,D,20181008,000000,227.6800000
GDAX.ETH-USD,D,20181009,000000,226.1500000
GDAX.ETH-USD,D,20181010,000000,223.6100000
GDAX.ETH-USD,D,20181011,000000,188.3200000
GDAX.ETH-USD,D,20181012,000000,194.1000000
GDAX.ETH-USD,D,20181013,000000,196.7200000
GDAX.ETH-USD,D,20181014,000000,191.8700000
GDAX.ETH-USD,D,20181015,000000,204.5300000
GDAX.ETH-USD,D,20181016,000000,205.4300000
GDAX.ETH-USD,D,20181017,000000,203.2100000
GDAX.ETH-USD,D,20181018,000000,199.2000000
GDAX.ETH-USD,D,20181019,000000,200.0000000
GDAX.ETH-USD,D,20181020,000000,202.6900000
GDAX.ETH-USD,D,20181021,000000,202.1200000
GDAX.ETH-USD,D,20181022,000000,201.2500000
GDAX.ETH-USD,D,20181023,000000,201.1200000
GDAX.ETH-USD,D,20181024,000000,200.6800000
GDAX.ETH-USD,D,20181025,000000,199.6500000
GDAX.ETH-USD,D,20181026,000000,200.7000000
GDAX.ETH-USD,D,20181027,000000,201.4600000
GDAX.ETH-USD,D,20181028,000000,202.4300000
GDAX.ETH-USD,D,20181029,000000,194.3100000
