<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BTC-USD,D,20180217,000000,11121.5000000
GDAX.BTC-USD,D,20180218,000000,10380.0400000
GDAX.BTC-USD,D,20180219,000000,11140.0000000
GDAX.BTC-USD,D,20180220,000000,11235.5700000
GDAX.BTC-USD,D,20180221,000000,10454.2700000
GDAX.BTC-USD,D,20180222,000000,9830.0000000
GDAX.BTC-USD,D,20180223,000000,10144.9900000
GDAX.BTC-USD,D,20180224,000000,9688.6200000
GDAX.BTC-USD,D,20180225,000000,9595.4200000
GDAX.BTC-USD,D,20180226,000000,10300.0000000
GDAX.BTC-USD,D,20180227,000000,10566.5700000
GDAX.BTC-USD,D,20180228,000000,10307.2700000
GDAX.BTC-USD,D,20180301,000000,10895.9200000
GDAX.BTC-USD,D,20180302,000000,11000.0000000
GDAX.BTC-USD,D,20180303,000000,11432.5000000
GDAX.BTC-USD,D,20180304,000000,11469.9000000
GDAX.BTC-USD,D,20180305,000000,11377.5400000
GDAX.BTC-USD,D,20180306,000000,10700.0000000
GDAX.BTC-USD,D,20180307,000000,9925.0000000
GDAX.BTC-USD,D,20180308,000000,9304.8900000
GDAX.BTC-USD,D,20180309,000000,9255.0000000
GDAX.BTC-USD,D,20180310,000000,8795.4400000
GDAX.BTC-USD,D,20180311,000000,9533.8800000
GDAX.BTC-USD,D,20180312,000000,9120.0000000
GDAX.BTC-USD,D,20180313,000000,9145.4100000
GDAX.BTC-USD,D,20180314,000000,8207.0200000
GDAX.BTC-USD,D,20180315,000000,8259.9900000
GDAX.BTC-USD,D,20180316,000000,8275.0000000
GDAX.BTC-USD,D,20180317,000000,7857.6000000
GDAX.BTC-USD,D,20180318,000000,8192.0000000
GDAX.BTC-USD,D,20180319,000000,8589.0000000
GDAX.BTC-USD,D,20180320,000000,8900.0000000
GDAX.BTC-USD,D,20180321,000000,8891.8100000
GDAX.BTC-USD,D,20180322,000000,8715.0900000
GDAX.BTC-USD,D,20180323,000000,8927.1000000
GDAX.BTC-USD,D,20180324,000000,8531.3400000
GDAX.BTC-USD,D,20180325,000000,8453.0000000
GDAX.BTC-USD,D,20180326,000000,8145.0000000
GDAX.BTC-USD,D,20180327,000000,7793.6100000
GDAX.BTC-USD,D,20180328,000000,7942.7200000
GDAX.BTC-USD,D,20180329,000000,7080.0000000
GDAX.BTC-USD,D,20180330,000000,6848.0100000
GDAX.BTC-USD,D,20180331,000000,6928.5000000
GDAX.BTC-USD,D,20180401,000000,6816.0100000
GDAX.BTC-USD,D,20180402,000000,7045.0100000
GDAX.BTC-USD,D,20180403,000000,7424.9000000
GDAX.BTC-USD,D,20180404,000000,6791.6800000
GDAX.BTC-USD,D,20180405,000000,6785.8500000
GDAX.BTC-USD,D,20180406,000000,6619.0100000
GDAX.BTC-USD,D,20180407,000000,6894.0100000
GDAX.BTC-USD,D,20180408,000000,7020.0100000
GDAX.BTC-USD,D,20180409,000000,6771.1300000
GDAX.BTC-USD,D,20180410,000000,6824.9900000
GDAX.BTC-USD,D,20180411,000000,6942.9900000
GDAX.BTC-USD,D,20180412,000000,7916.0000000
GDAX.BTC-USD,D,20180413,000000,7893.1900000
GDAX.BTC-USD,D,20180414,000000,8003.1100000
GDAX.BTC-USD,D,20180415,000000,8355.2500000
GDAX.BTC-USD,D,20180416,000000,8048.9300000
GDAX.BTC-USD,D,20180417,000000,7892.1000000
GDAX.BTC-USD,D,20180418,000000,8152.0500000
GDAX.BTC-USD,D,20180419,000000,8274.0000000
GDAX.BTC-USD,D,20180420,000000,8866.2700000
GDAX.BTC-USD,D,20180421,000000,8915.4200000
GDAX.BTC-USD,D,20180422,000000,8795.0100000
GDAX.BTC-USD,D,20180423,000000,8931.3000000
GDAX.BTC-USD,D,20180424,000000,9645.1000000
GDAX.BTC-USD,D,20180425,000000,8865.9800000
GDAX.BTC-USD,D,20180426,000000,9272.1100000
GDAX.BTC-USD,D,20180427,000000,8922.5500000
GDAX.BTC-USD,D,20180428,000000,9329.9900000
GDAX.BTC-USD,D,20180429,000000,9389.0100000
GDAX.BTC-USD,D,20180430,000000,9243.8300000
GDAX.BTC-USD,D,20180501,000000,9072.2900000
GDAX.BTC-USD,D,20180502,000000,9190.4800000
GDAX.BTC-USD,D,20180503,000000,9725.7400000
GDAX.BTC-USD,D,20180504,000000,9685.0000000
GDAX.BTC-USD,D,20180505,000000,9800.0000000
GDAX.BTC-USD,D,20180506,000000,9600.0000000
GDAX.BTC-USD,D,20180507,000000,9353.0000000
GDAX.BTC-USD,D,20180508,000000,9177.8200000
GDAX.BTC-USD,D,20180509,000000,9300.0800000
GDAX.BTC-USD,D,20180510,000000,9010.5100000
GDAX.BTC-USD,D,20180511,000000,8403.3300000
GDAX.BTC-USD,D,20180512,000000,8475.0000000
GDAX.BTC-USD,D,20180513,000000,8686.1000000
GDAX.BTC-USD,D,20180514,000000,8670.0000000
GDAX.BTC-USD,D,20180515,000000,8477.4600000
GDAX.BTC-USD,D,20180516,000000,8344.0000000
GDAX.BTC-USD,D,20180517,000000,8059.0000000
GDAX.BTC-USD,D,20180518,000000,8238.5100000
GDAX.BTC-USD,D,20180519,000000,8235.6000000
GDAX.BTC-USD,D,20180520,000000,8516.8600000
GDAX.BTC-USD,D,20180521,000000,8393.4400000
GDAX.BTC-USD,D,20180522,000000,7987.7000000
GDAX.BTC-USD,D,20180523,000000,7505.0000000
GDAX.BTC-USD,D,20180524,000000,7584.1500000
GDAX.BTC-USD,D,20180525,000000,7459.1100000
GDAX.BTC-USD,D,20180526,000000,7337.9500000
GDAX.BTC-USD,D,20180527,000000,7346.6400000
GDAX.BTC-USD,D,20180528,000000,7107.9400000
GDAX.BTC-USD,D,20180529,000000,7460.0000000
GDAX.BTC-USD,D,20180530,000000,7380.0100000
GDAX.BTC-USD,D,20180531,000000,7485.0000000
GDAX.BTC-USD,D,20180601,000000,7514.3200000
GDAX.BTC-USD,D,20180602,000000,7636.4200000
GDAX.BTC-USD,D,20180603,000000,7706.3700000
